Português,Inglês
Não vá embora.,Do not go away.
Martha.,Martha.
"Obrigado, pessoal.",Thank you guys.
Onde ele está agora?,Where is him now?
Saia da minha frente.,Get out of my way.
Mulder.,Mulder.
Que nada.,That nothing.
Vou entrar.,I will enter.
"Oi, gente.",Hey guys.
Levem-no.,Take it.
Conheço.,I know.
Há.,There is.
Não tenho nada.,I do not have anything.
Oba!,Oba!
Aqui vai.,Here goes.
Deixe-me pensar.,Let me think.
Princesa!,Princess!
Que bom te ver.,Good to see you.
Quem é este?,Who is this?
Eu te amo tanto.,I love you so much.
Venha conosco.,Come with us.
Como ele é?,What's he like?
Gandalf!,Gandalf!
O que faço?,What do I do?
"Sim, é isso.","Yes, that's it."
Ellie!,Ellie!
Kenny!,Kenny!
Deixe-me ajudá-lo.,Let me help you.
Cole.,Cole.
claro.,Of course.
Está tudo aqui.,It's all here.
Vamos conseguir.,Let's get it.
Não é minha culpa.,It's not my fault.
O que você quer que eu faça?,What do you want me to do?
Você sabia disso?,Did you know that?
Isso é certo.,This is right.
Se foi.,Gone.
Está tarde.,This afternoon.
"Não, não tenho.","No, I don't have."
Segura.,Safe.
Eu pensei...,I thought...
Qual o nome dela?,What's her name?
Qual é a graça?,What's the fun?
Tire-o daqui.,Take it out of here.
"Bem, obrigada.",Well thank you.
Não lembro.,I don't remember.
Como sabia?,How did you know?
Ela sabe.,She knows.
Você está ótimo.,You are great.
Isso não é nada.,That's nothing.
Natalie.,Natalie.
Tire-me daqui.,Get me out of here.
"Certo, obrigada.","Right, thank you."
Heil Hitler.,Heil Hitler.
Eu não tenho.,I don't have.
É muito simples.,It's very simple.
"Sim, foi.",Yes it was.
É uma boa ideia.,It's a good idea.
Ali está.,There it is.
Eu o peguei.,I caught him.
Ana.,A-N-A.
Pode parar.,Can stop.
Felicidades.,Cheers.
Angela.,Angela.
1ª Temporada |,Season 1 |
Matthew.,Matthew.
April!,April!
Eles se foram.,They are gone.
Deixa para lá.,Never mind.
Drogas?,Drugs?
Está linda.,You're beautiful.
Nem você.,Neither you.
Betty.,Betty.
Filhos da puta!,Children of the bitch!
Raios!,Rays!
Justin.,Justin.
Deixe-me explicar.,Let me explain.
"Sim, madame.",Yes ma'am.
Mal.,Bad.
Ladrão!,Burglar!
Tire as mãos de mim!,Take your hands out of me!
O que ele está fazendo aqui?,What is he doing here?
"Obrigado, doutor.","Thank you, doctor."
Suponho que sim.,I suppose so.
"Vamos, depressa!",Let's go fast!
É bom te ver.,Good to see you.
Confia em mim.,Trust me.
Abra a boca.,Open your mouth.
Jones.,Jones.
Te vejo amanhã.,See you tomorrow.
Como vão as coisas?,How is it going?
Eu insisto.,I insist.
Ponto final.,Full stop.
"Não, eu estou bem.","No, I'm fine."
Ele é meu.,He is mine.
É melhor.,It is better.
Não é preciso.,It is not necessary.
É brincadeira.,Just kidding.
Fiquem aqui.,Stay here.
Taylor.,Taylor.
Que barulho é esse?,What is that noise?
"Ei, querida.",Hey dear.
Ele é louco.,He is crazy.
Segure-o.,Hold it.
Ajudem!,Help!
Armas?,Weapons?
Paciência.,Patience.
Você está bêbado.,You are drunk.
Não posso fazer nada.,I can't do anything.
"Sim, você pode.",Yes you can.
Não toque.,Do not touch.
Vê isso?,See this?
Sente-se aqui.,Sit here.
Que houve?,What happened?
Quinn.,Quinn.
Me desculpem.,I'm sorry.
Meu marido.,My husband.
Por onde andou?,Where have you been?
Vou dar uma olhada.,I will take a look.
Só um.,Only one.
Você estava lá.,You were there.
Inferno!,Hell!
Esta?,It is?
Quer um?,Want a?
Deus te abençoe.,God bless you.
Megan!,Megan!
Só uma.,Only one.
Quer vir?,Want to come?
Não vamos.,We will not.
Só pode ser brincadeira.,You Must be kidding.
Pior.,Worse.
Eu vou embora.,I'm leaving.
"Oi, cara.",Hey man.
Lutem!,Fight!
Podemos fazer isso.,We can do that.
Adoro.,I adore.
Mesmo assim.,Even so.
Você perdeu.,You lost.
Doc!,Doc!
Só você.,Only you.
"Três, dois, um.",Three two one.
Deixe.,Leave it.
"Obrigado, amigo.",Thank you friend.
Por tudo.,For everything.
Está limpo.,It is clean.
Vossa Graça.,Your grace.
Diga a ele.,Tell him.
Vou chamar a polícia.,I'll call the police.
Zero.,Zero.
E ela?,It's her?
Você a matou.,You killed her.
Boom!,Boom!
Doutora.,Doctor.
Estamos entendidos?,Do we have a deal?
Absolutamente nada.,Absolutely nothing.
"Valeu, cara.",Thanks dude.
Sinto sua falta.,I miss you.
Fui claro?,Was it clear?
A mim?,To me?
Não estava.,Was not.
Sobre?,About?
Alguém em casa?,Anybody home?
"Bem, então...",Well then...
Foi embora.,Left.
"Obrigado, mãe.",Thank you mom.
Desligue isso.,Turn off it.
Sinto.,I feel.
"Oh, certo.","Oh, right."
Não há nada.,There is nothing.
"É, acho que sim.","Yeah, I think so."
Não quis dizer isso.,I didn't mean that.
"Ah, certo.","Oh, right."
Como posso ajudá-lo?,How can I help you?
É normal.,It's normal.
Eu não estou.,I am not.
Tara.,Tara.
Vergonha.,Shame.
Qual é a diferença?,What is the difference?
Estou ótima.,I am great.
Não funcionou.,Did not work.
Seguro.,Safe.
Joseph.,Joseph.
Não tenho idéia.,I have no idea.
Ele fugiu.,He ran-away.
Eu não queria.,I did not want.
Estou confuso.,I'm confused.
E o que é?,It is what it is?
Quente.,Warm.
Eu duvido.,I doubt it.
Só pode estar brincando.,You can only be kidding.
Vejo você depois.,See you later.
"Certo, senhor.","Right, sir."
Está entendendo?,Do you understand?
É o meu trabalho.,It's my job.
Shane!,Shane!
"Sim, eu entendo.",Yes I understand.
"Oh, Meu Deus!",Oh my God!
"Não, desculpe.","No, sorry."
"Muito bem, senhor.","Very well, sir."
Posso tentar.,I can try.
Allison.,Allison.
Alicia.,Alicia.
Estou orgulhoso de você.,I'm proud of you.
Isto é incrível.,This is incredible.
"Boa noite, querida.",Goodnight my dear.
Confirmado.,Confirmed.
Quando quiser.,When you want.
Foi minha culpa.,It was my fault.
Sei quem você é.,I know who you are.
Abaixem as armas.,Lower the weapons.
Peraí.,One minute.
"Não, eu sei.","No, I know."
Lembre-se disso.,Remember this.
Sacou?,Did you get?
Ficará tudo bem.,It will be all right.
Por que ele faria isso?,Why would he do that?
Quem são?,Who are?
Eu gostaria.,I would like.
Não estou mentindo.,I'm not lying.
Você mentiu para mim.,You lied to me.
É por isso.,That's why.
Equipe Queens Of The Lab,Queens of the Lab team
Jill!,Jill!
Saia do meu caminho.,Get out of my way.
Muito interessante.,Very interesting.
Está ferido?,Are you injured?
The_Tozz,The_tozz
Mas agora...,But now...
De modo algum.,Not at all.
Gus.,Gus.
Tina.,Tina.
Você está doente?,You are sick?
Nicole.,Nicole.
Evan.,Evan.
Como tem passado?,How have you been?
Seu filho?,Your son?
Não disse.,Did not say.
Holly.,Holly.
Tirem-no daqui.,Take it from here.
"Desculpe, querida.",Sorry dear.
Não minta.,Do not lie.
É por isso que estou aqui.,That's why I'm here.
Vamos pegá-lo.,Let's take it.
Nada bem.,Not good.
Filho da...,Son of...
Deixe uma mensagem.,Leave a message.
Aonde estamos indo?,Where are we going?
Seu merda!,Your shit!
Quantos anos tem?,How old is?
Blake.,Blake.
Stephen.,Stephen.
Boa sorte com isso.,Good luck with that.
Temos companhia.,We have company.
Eu já disse.,I already said.
Me soltem!,Let me go!
Que bonito.,Beautiful.
Você pode me ouvir?,Can you hear me?
Está vendo isso?,See this?
Está preso.,Is arrested.
Ele disse isso?,He said that?
Posso perguntar uma coisa?,Can I ask you something?
Não pergunte.,Do not ask.
Ela ficará bem.,She will be fine.
Você é louca.,You are crazy.
Isso é um absurdo.,This is absurd.
Ashley.,Ashley.
"Não, de jeito nenhum.",No way.
Você enlouqueceu?,Did you go crazy?
Eu lamento.,I'm sorry.
"Na verdade, sim.",Actually yes.
"Ah, droga.","Ah, drug."
Não quero morrer.,I do not wanna die.
Você vai morrer.,You will die.
Onde estamos indo?,Where are we going?
Se você quiser.,If you want.
"Sim, Capitão.","Yes, Captain."
Estou em casa.,I'm at home.
Acordem!,Wake up!
Está tudo sob controle.,Everything is under control.
E aqui.,Is here.
É muito tarde.,It is too late.
Só um pouquinho.,Just a little.
"Tudo bem, cara.",Okay guy.
Dres,Dres
Nada mesmo.,Nothing at all.
Não minta para mim.,Do not lie to me.
Não tem importância.,It is not important.
Vou matá-lo.,I will kill you.
Loucura.,Craziness.
Daisy!,Daisy!
Eli.,Eli.
Ficaremos bem.,We will be well.
Você está atrasado.,You are late.
Dê o fora!,Give it out!
Mama!,Mama!
Gordon.,Gordon.
Sharon!,Sharon!
O que deseja?,What do you want?
"Sim, um pouco.",Yes a little.
Aí vamos nós.,Then we go.
Encantado.,Charmed.
Você é casado?,Are you married?
Dana!,Dana!
Você pode ir.,You can go.
Não disse nada.,I did not say anything.
"Vão, vão, vão!","Go, go, go!"
Ouviram isso?,Did you hear this?
Ao trabalho.,To work.
Mas eu não.,But I do not.
Steven!,Steven!
Faz muito tempo.,It's been a long time.
Mais alguém?,Somebody else?
Pode ficar.,It can stay.
E vocês?,And you?
Estão vendo?,See?
Obrigado pela ajuda.,Thank you for your help.
Não fale assim.,Not talk like that.
"Tchau, querida.","Bye, honey."
Vamos jogar.,Let's Play.
Randy!,Randy!
Wendy!,Wendy!
Está morta.,It's dead.
Estamos atrasados.,We are late.
Que se foda.,That fucks yourself.
"Oh, meu deus.",Oh my God.
"Vamos, garoto.","Come on, boy."
Pergunte a ele.,Ask him.
"Entre, por favor.","Enter, please."
"Espere, o quê?","Wait, what?"
Não há de quê.,Your welcome.
"Sim, exatamente.","Yes, exactly."
Eu não quero morrer.,I do not want to die.
Um homem.,A man.
Não sei dizer.,I can't say.
Me largue!,Let me go!
Para fora!,Out!
"Obrigado, senhora.",Thank you Madam.
"Oh, não, não.","Oh no, no."
Pode acreditar.,Can believe.
Podemos entrar?,We come?
Sir.,Sir.
Tenho uma idéia.,I have an idea.
Duas semanas.,Two weeks.
Erik!,Erik!
Sua esposa?,Your wife?
Já vai.,Go.
Não seja idiota.,Do not be stupid.
Devemos ir.,Should we go.
Que gracinha.,How cute.
Vamos acabar com isso.,Let's end this.
Vejo você mais tarde.,See you later.
Qual é o nome dela?,What is her name?
Ele não está.,He is not.
Fique abaixado.,Stay down.
Aquele.,That one.
Não parece.,It does not seem.
Estamos ferrados.,We're screwed.
Ótimo trabalho.,Great job.
Alguma novidade?,Any news?
Ele foi embora.,He's gone.
Não sabia disso.,I did not know that.
Amo vocês.,Love you.
"Olá, rapazes.",Hello guys.
Me liga.,He calls me.
Por que não me disse?,Why didn't you tell me?
Você não sabia?,Did not you know?
Você é demais.,You are amazing.
Será divertido.,Will be fun.
Meritíssimo.,Very merit.
Nós o pegamos.,We took him.
Marco!,March!
Por isso estou aqui.,That's why I'm here.
"Sim, cara.","Yes, man."
"Sim, eu vou.",Yes I will.
Como me encontrou?,How did you find me?
Conheço você.,I know you.
Eu farei.,I will do.
Assine aqui.,Sign here.
Que é isto?,What is this?
Quanto custa?,How much does it cost?
Bonnie.,Bonnie.
Como estamos?,As we are?
Então o que é?,So what is it?
Há algum problema?,Is there a problem?
De qualquer forma...,Anyway...
Algo?,Something?
Em que posso ajudar?,How can I help?
Quanto tempo temos?,How long do we have?
Estou atrasada.,I'm late.
Diga a verdade.,Tell the truth.
"Sim, eu tenho.",Yes I have.
Você fica aqui.,You stay here.
Lute!,Fight!
O que conseguiu?,What did you get?
Mel?,Honey?
Ficará bem.,Will be fine.
Onde vamos?,Where are we going?
Aparentemente.,Apparently.
Perguntas?,Questions?
Estou esperando.,I am waiting.
O que é tão engraçado?,What is so funny?
"Sim, capitão.","Yes, Captain."
Sai daí!,Get out!
Queria me ver?,Wanted to see me?
Como não?,How not?
O que descobriu?,What did you find out?
Policial.,Police officer.
Por que agora?,Because now?
Minha senhora.,Madam.
Dois anos.,Two years.
Sabe o que mais?,Do you know what else?
Sair.,To go out.
Toca aqui.,Plays here.
É óbvio.,Is obvious.
Estou de volta.,I am back.
Não me sinto bem.,I do not feel well.
Desisto.,I give up.
Brad!,Brad!
Eu não faria isso.,I would not do that.
Se você diz.,If you say.
Amei.,I loved.
É melhor eu ir.,I better go.
"Não, não quero.",No I do not want.
Diana.,Diana.
Já nos conhecemos?,We have already met?
Estava pensando...,I was thinking...
"Isso, isso.",This this.
Precisamos sair daqui.,We need to get out of here.
Calada!,Calado!
Bye.,Bye.
Estou dizendo.,I'm saying.
Desgraçados!,Unfortunate!
Tenho medo.,I am scared.
Voltei.,I went back.
Mayday!,Mayday!
Vermelho.,Red.
Acabamos.,We are done.
Que alívio.,What a relief.
Como o que?,Like what?
Coitado.,Underdog.
E se...,And if...
É sua.,And yours.
"Oh, claro.","Oh, of course."
Está acontecendo.,Is happening.
Esperar.,Wait.
Não sinta.,Do not feel.
"É, é.",And is.
Eu vou morrer.,I will die.
Inocente.,Innocent.
De que tipo?,What kind?
Seja bem-vindo.,Welcome.
E o que aconteceu?,And what happened?
"Ah, qual é.","Ah, what is it."
Se quiser.,If you want.
Quais?,Which?
Não é não.,"No, it is not."
Descanse um pouco.,Rest a little.
Não acredita em mim?,Do not believe me?
Dennis.,Dennis.
Não se desculpe.,Do not apologize.
Nada bom.,Not good.
Que droga é essa?,What drug is this?
Melhor ainda.,Even better.
Esperem aí.,Wait there.
Connor.,Connor.
Alerta!,Alert!
"Sim, você é.",Yes you are.
Legende conosco!,Legende with us!
É bom ver você.,It's good to see you.
Mas quer saber?,But do you want to know?
Aconteceu algo?,Something happened?
Prometa.,Promise.
Isso não.,Not that.
Fujam!,Run away!
Eu te ligo.,I call you.
Deixe-me ver isso.,Let me see this.
Nora.,Daughter in law.
Esse cara.,That guy.
Harold.,Harold.
Mãos na cabeça!,Hands on your head!
Não consigo ver.,I can not see.
Claro que estou.,Of course I am.
Ouviram?,Did you hear?
Gwen?,Gwen?
É a mesma coisa.,It's the same thing.
Espera um segundo.,Wait a second.
Só mais uma coisa.,Just one more thing.
Prestem atenção.,Pay attention.
Que lugar é este?,What is this place?
Está se divertindo?,Is having fun?
"Oh, meu...",Oh my...
"Por favor, sentem-se.",Please feel.
Tive uma ideia.,I have an idea.
Foi demais.,It was too much.
Não se aproxime.,Do not approach.
Perigo!,Danger!
Você não sabe disso.,You don't know that.
Por aí.,Around.
Onde eu estou?,Where I am?
Vai se ferrar!,It will get screwed!
Nada aconteceu.,Nothing happened.
Não é bem assim.,Not quite.
Não me mate.,Do not kill me.
Malcolm!,Malcolm!
O que você faria?,What would you do?
Canalha!,Scoundrel!
Não compreendo.,I do not understand.
Não é nada demais.,It is no big deal.
Que saco!,What a bag!
Eu adoro.,I love.
O que esperava?,What did you expect?
Não sei o que aconteceu.,I do not know what happened.
"Tudo bem, vamos.",OK let's go.
Champanhe?,Champagne?
Aonde ele foi?,Where did he go?
Vou cuidar disso.,I will take care of it.
Será um prazer.,It will be a pleasure.
Comporte-se.,Behave yourself.
Se manda!,Go away!
Testemunhe um novo conceito em legendas,Witness a new concept in subtitles
O que vocês estão fazendo?,What are you doing?
Com quem está falando?,With who are you talking to?
Você me entendeu?,You understood me?
Ai está.,Here it is.
Vince.,Vince.
Não desista.,Do not give up.
Pra onde?,To where?
Ligue.,Call.
Eu acho que...,I think that...
Victoria.,Victoria.
Não se atreva.,Do not you dare.
"Sim, mamãe.",Yes mom.
Gosto de você.,I like you.
Posso ajudá-los?,Can I help them?
Keila,Keila
"Desculpe, cara.","Sorry, man."
Noah!,Noah!
E o seu?,And you?
Me ligue.,Call me.
Vai com calma.,Calm down.
Ele chegou.,He arrived.
Importa-se?,It is important?
É muito.,Is very.
Jogue.,Play it.
Trabalhando.,Working.
Apareça!,Show up!
Nós não.,We do not.
Não vai demorar.,Will not be long.
Quer ir?,Want to go?
Eu peguei.,I caught.
Sem ofensa.,No offense.
Obrigado a todos.,Thank you all.
Riley.,Riley.
É muito bonito.,It's very beautiful.
Minha irmã.,My sister.
Guerra.,War.
Está ficando tarde.,It's getting late.
Dispensados.,Dismissed.
Maya.,Maya.
Deixe-me ajudar.,Let me help.
Eu disse isso?,I said that?
Estive pensando.,I was thinking.
"Ótimo, ótimo.",Great great.
Parece familiar?,Sounds familiar?
Olha pra mim.,Look at me.
"Não, não vou.","No, I'm not going."
Ellen.,Ellen.
Vamos ficar bem.,We will be fine.
Ouvi.,I heard.
Saia da minha casa.,Get out of my house.
Está mesmo.,It's really.
Sirva-se.,Help yourself.
Espero que não se importe.,I hope you do not mind.
Esperem um pouco.,Wait a minute.
Vou sair.,I am going out.
Dê para mim.,Give it to me.
Firme.,Firm.
Abra os olhos.,Open your eyes.
Como você se sente?,How do you feel?
Fale baixo.,Speak low.
Vejam isso.,See this.
César!,Caesar!
O que estamos esperando?,What are we waiting for?
"Sim, entendi.","Yes, I understood."
Cassie.,Cassie.
Bang!,Bang!
Sabem?,Do you know?
Onde estão os outros?,Where are the others?
"Tchau, mãe.",Bye mom.
É a sua vez.,It's your turn.
Viu aquilo?,See that?
Caras!,Faces!
Quer uma cerveja?,Do you want a beer?
É real.,It's real.
Quer apostar?,Want to bet?
Samantha.,Samantha.
Louise.,Louise.
"Venha, querida.","Come, honey."
Não farei isso.,I won't do that.
Sabe quem eu sou?,Do you know who I am?
"Obrigada, querido.",Thank you my dear.
Bonita.,Beautiful.
Ele não.,He no.
Onde está o dinheiro?,Where is the money?
Mitch.,Mitch.
Não desta vez.,Not this time.
Vai funcionar.,It will work.
Larguem as armas!,Lite the weapons!
Qual é a sua?,What is yours?
Mudança de planos.,Change of plans.
Isso foi...,That was ...
Chame uma ambulância!,Call an ambulance!
Ross.,Ross.
"Vamos, levante-se.","Come on, get up."
O dinheiro.,The money.
Eu estava pensando...,I was thinking...
Não é o suficiente.,It is not enough.
Não há.,There is not.
"Oh, ótimo.","Oh, great."
Anthony.,Anthony.
Você mentiu.,You lied.
O que quer saber?,What do you want to know?
Não toque em mim.,Do not touch me.
Disponha.,It has.
"Não sei, cara.","I do not know, dude."
Como pode?,How can you?
Eu não sei o que fazer.,I do not know what to do.
Sabe o que eu acho?,Do you know what I think?
Todos de pé.,All standing.
Isso é interessante.,This is interesting.
Eu me importo.,I care.
"Aqui, aqui.",Here here.
É difícil dizer.,It is hard to say.
Eu falei.,I spoke.
Como nos velhos tempos.,Like in the old days.
Me escuta.,Listen me.
Manda.,He sends.
Olhe pra você.,Look at you.
Escolha.,Choice.
Prazer em vê-lo.,Nice to see you.
Não seja boba.,Don't be silly.
Estão todos mortos.,They are all dead.
Problema?,Problem?
Explique.,Explain.
O que diabos está acontecendo?,What the hell is happening?
Não é fácil.,It's not easy.
Muitos.,Many.
Cala-te!,Shut up!
Ajoelhe-se.,Get down on your knees.
Ainda está aqui?,Are you still here?
"Claro, senhor.",Of course sir.
Desculpe interromper.,I'm sorry to interrupt.
Matar!,To kill!
Vinte.,Twenty.
Mate-a!,Kill it!
Estou morrendo de fome.,I'm starving.
A chave.,The key.
Saquei.,I drew.
É assim que se faz.,That's how it's done.
Que fofo.,How cute.
O que aconteceu com ela?,What happened to her?
Sorte?,Luck?
A porta!,The door!
É pra já.,It's for now.
Olhe para eles.,Look at them.
Como entrou aqui?,How did you get in here?
Por que se importa?,Why do you care?
"Sim, é ele.","Yes, he is."
Mas tudo bem.,But everything is fine.
Eu não sabia disso.,I did not know that.
Você o ama?,You love him?
Albert.,Albert.
"Quem, eu?","Who, me?"
"Não é, não.","No, it is not."
Mas não é.,But it is not.
Eu nunca...,I never...
Deixa disso.,Drop it.
"Ai, Deus.","Oh, God."
Mikey!,Mikey!
Inteligente.,Intelligent.
Vá logo.,Go fast.
Não podemos fazer isso.,We can not do that.
Explosão!,Explosion!
Não me olhe assim.,Do not look at me like that.
"Não, não faça isso.","No, don't do that."
Que sorte.,How lucky.
Por que acha isso?,Why do you think that?
Tranquilo.,Quiet.
Sal.,Salt.
Por que estou aqui?,Why am I here?
Foda!,Fuck!
E nós?,It is us?
Todos prontos?,All ready?
Jo.,Jo.
Parar.,To stop.
Diabolicamente Majestosas,Diabolically majestic
Nada mudou.,Nothing changed.
Deu certo.,It worked out.
Isto é tudo.,That's all.
Justiça!,Justice!
"Ei, garoto.","Hey, boy."
Não estou interessado.,I'm not interested.
Aqui mesmo.,Right here.
Eu disse não.,I said no.
O que você diz?,What do you say?
E como!,It is like!
Muito ruim.,Too bad.
Paige.,Paige.
Não seja tolo.,Do not be silly.
Não é o que parece.,It's not what it looks like.
Desse jeito.,Like this.
Francis.,Francis.
"Não, sinto muito.","No, I'm sorry."
Tenho uma pergunta.,I have a question.
Outro?,Other?
Eu ficarei bem.,I will be fine.
Ele está ali.,He is there.
"Então, o que acha?","So, what do you think?"
ok.,OK.
"Tudo bem, vamos lá.","Okay, come on."
Talvez sim.,Perhaps yes.
Negado.,Denied.
"Não, é sério.","No, it's serious."
Dá para acreditar?,Can you believe?
Esse sou eu.,That's me.
Vamos tentar de novo.,Let's try again.
"Sim, entendo.","Yes, I understand."
Do que ele está falando?,What is he talking about?
Não vou a lugar nenhum.,I'm not going anywhere.
Está se sentindo bem?,Are you feeling well?
É seguro.,It's safe.
Não tem ninguém aqui.,There is nobody here.
Acredita?,Believe me?
Fale com ele.,Talk to him.
É como...,It is like...
Janet!,Janet!
Isso não é engraçado.,This is not funny.
Estou chegando.,I am arriving.
Ainda não acabou.,Not over yet.
Melhorou?,Improved?
Para dentro.,Inside.
| ManiacSubs |,| Maniacsubs |
Não há nada aqui.,There's nothing here.
Que dia é hoje?,What Day is Today?
O prazer foi meu.,My pleasure.
Está tudo pronto.,Everything is ready.
Não será necessário.,It will not be necessary.
Comecem!,Start!
Azul.,Blue.
Essa.,That.
É impressionante.,It's impressive.
Deve ser.,It must be.
Estamos perto.,We're close.
Sente-se melhor?,Do you feel better?
Você não é.,You are not.
Perfeitamente.,Perfectly.
É a polícia.,It's the police.
Não vou demorar.,I will not be long.
Todd.,Todd.
Isso faz sentido.,That makes sense.
Controle-se.,Control yourself.
Ruth.,Ruth.
Bem melhor.,Much better.
E os outros?,And the others?
"Nós""?","Us""?"
Negócios.,Business.
É todo seu.,It's all yours.
Odeio isso.,I hate this.
Que interessante.,How interesting.
E o que é isso?,And what is this?
Não vê?,Do not see?
Bacana.,Nice.
Essa é a verdade.,That's the truth.
Como conseguiu?,How did you get it?
Bolas!,Balls!
Malditos!,Damn!
Ouro.,Gold.
Como você fez isso?,How did you do it?
Siga em frente.,Go straight on.
Solta!,Drop!
Ajude-nos.,Help us.
Onde eu estava?,Where I was?
O que ele faz?,What he does?
O que vai ser?,What is going to be?
Não se esqueça.,Do not forget.
E qual é?,And which one is it?
Precisa de algo?,Do you need something?
Liam.,Liam.
Não grite.,Do not scream.
Mulher.,Woman.
O mesmo.,The same.
Tínhamos um acordo.,We had a deal.
Deixe-me ajudá-la.,Let me help you.
Phoebe.,Phoebe.
Está vazio.,Is empty.
Tem que ser.,It has to be.
Você está com medo?,Are you afraid?
Inspetor.,Inspector.
Saiu.,It went out.
Vamos trabalhar.,Let's work.
Não creio.,I do not believe.
Sua Majestade.,Your Majesty.
Stefan.,Stefan.
Estou com frio.,I am cold.
É um menino.,It's a boy.
Você aí!,You there!
Tenham cuidado.,Be careful.
Por que estamos aqui?,Why are we here?
É para já.,It's for now.
O que você quer fazer?,What do you want to do?
Ele é legal.,He's cool.
Hanna?,Hanna?
Patético.,Pathetic.
Eu não acredito em você.,I do not believe you.
Você é um gênio.,You are a genius.
Não é tão simples.,It is not so simple.
Está enganado.,You are wrong.
Obrigado por virem.,Thanks for coming.
Nós dois.,Both of us.
Heather.,Heather.
O que diabos está fazendo?,What the hell are you doing?
Que absurdo!,How absurd!
Ataque!,Attack!
Continue procurando.,Keep looking.
Um presente.,A gift.
Volte a dormir.,Go back to sleep.
Vivo.,Alive.
Isso é uma piada?,This is a joke?
Isso é meu.,That's mine.
Eu estou indo.,I am going.
Assustador.,Scary.
Temos que ir agora.,We have to go now.
Não tem nada.,There is nothing.
Eu não sei o que dizer.,I do not know what to say.
Vamos agora.,Let's go now.
Prazer em te conhecer.,Nice to meet you.
"Sim, papai.",Yes Dad.
Assim espero.,I hope so.
Ricky!,Ricky!
Cooper.,Cooper.
Que mais?,What else?
Não vou a lugar algum.,I'm not going anywhere.
Compreende?,Understand?
Como estão as coisas?,How are things?
Em posição.,In position.
Tess.,Tess.
Esperem aqui.,Wait here.
De que está falando?,What are you talking about?
Ajude!,Help!
Foi maravilhoso.,It was wonderful.
Smith.,Smith.
Estamos perdidos.,We're lost.
Que foi isso?,What was that?
Suma daqui!,Get out of here!
Deve estar brincando.,It must be kidding.
O que importa?,What matters?
Mate!,Herb tea!
Sabe o que é?,You know what it is?
Rita.,Rita.
Eu amo.,I love.
De você.,From you.
Foi há muito tempo.,It was a long time.
Nem uma palavra.,Not even a word.
Rosa.,Pink.
"Sim, eu quero.",Yes I want.
Que cara?,What a face?
Hal?,Hal?
Volta!,Return!
Algo aconteceu.,Something happened.
Levantem!,Get up!
É melhor assim.,It's better that way.
Posso sentir.,I can feel.
"Vamos, querido.",Let's go honey.
"Por mim, tudo bem.",Fine by me.
Eu tenho um plano.,I have a plan.
Cretino!,Cretin!
Richie.,Richie.
Era você?,It was you?
Isso não é legal.,That's not cool.
Onde você mora?,Where do you live?
Peguem ele!,Take it!
Mas o que é isso?,But what is this?
Para onde está indo?,Where are you going?
Você não precisa.,You do not need.
Becky!,Becky!
Dois dias.,Two days.
Ele é meu amigo.,He is my friend.
Como você sabia?,How did you know?
Como chegou aqui?,How did you get here?
"Bem, e você?",Good and you?
É para mim.,It is for me.
Vamos esperar.,Let's wait.
"Atenção, por favor.",Attention please.
Garotos.,Boys.
De onde você veio?,Where are you from?
Christine!,Christine!
Brenda.,Brenda.
Espero.,I expect.
Raymond.,Raymond.
Precisamos de você.,We need you.
desculpe.,sorry.
Não é maravilhoso?,Isn't it wonderful?
Vinho?,Wine?
Seu irmão?,His brother?
Oscar.,Oscar.
Do que precisa?,What do you need?
Sandy?,Sandy?
O que foi que eu fiz?,What did I do?
Abre.,Open.
Encontre-o.,Find it.
Dê a volta.,Turn around.
Todos a bordo!,All aboard!
Onde você conseguiu isso?,Where did you get that?
Que está acontecendo?,What's happening?
A culpa é sua.,It's your fault.
Precisa de alguma coisa?,Need something?
Bom pra você.,Good for you.
Lembra disso?,Remember that?
Não precisa se desculpar.,You don't need to say sorry.
Está muito bom.,Is very good.
"Mãe, por favor.","Mom, please."
Mas é verdade.,But it's true.
Eu não entendi.,I didn't understand.
Diga algo.,Say something.
Há quanto tempo está aqui?,How much time you are here?
Me ouviu?,Did you hear me?
Claro que tem.,Of course it has.
E dai?,And?
Saiam daí!,Get out!
Garota.,Girl.
Gabriel.,Gabriel.
Ela é boa.,She is good.
Preciso de um favor.,I need a favor.
Meninos!,Boys!
"Oh, bem.",Oh well.
Seth.,Seth.
Eu volto já.,I'll be right back.
Barbara.,Barbarian.
Vou verificar.,I will check.
Não sei como.,I do not know how.
Almirante.,Admiral.
Aceite.,Accept.
Como pôde?,How could you?
Dale!,Dale!
Foi legal.,Was cool.
Dê uma olhada nisso.,Take a look at that.
Concorda?,Do you agree?
Só eu.,Just me.
"Sim, estamos.",Yes we are.
Já terminou?,It's over?
Como foi seu dia?,How was your day?
Subam!,Go up!
Más notícias.,Bad news.
Tire isso.,Take it off.
"Vamos, mexam-se!","Come on, move!"
Amo.,I love.
"Obrigada, querida.",Thank you dear.
Lance!,Throw!
O que ele queria?,What did he want?
Morta.,Dead.
Me deixe!,Leave me!
Ninguém se mexe!,Nobody moves!
Eu deveria?,I should?
Assassinos!,Murderers!
Está perfeito.,Is perfect.
Já está.,Already.
Cigarro?,Cigarette?
Sorriam.,They smiled.
Liv.,Liv.
Lauren.,Lauren.
